foodname,portiondesc
"Fish sandwich, on bun, with tartar sauce (Long John Silver, Burger King)",sandwich
"Fish sandwich, on bun, with tartar sauce (Long John Silver, Burger King)",Long John Silver's sandwich
"Fish sandwich, on bun, with cheese and tartar sauce (Hardee's, Long John Silver's, Carl's Jr., McDonald's)",Burger King sandwich
"Fish sandwich, on bun, with cheese and tartar sauce (Hardee's, Long John Silver's, Carl's Jr., McDonald's)",Hardee's sandwich
"Fish sandwich, on bun, with cheese and tartar sauce (Hardee's, Long John Silver's, Carl's Jr., McDonald's)",sandwich
"Fish sandwich, on bun, with cheese and tartar sauce (Hardee's, Long John Silver's, Carl's Jr., McDonald's)",McDonald's sandwich
"Fish sandwich, on bun, with cheese and tartar sauce (Hardee's, Long John Silver's, Carl's Jr., McDonald's)",Carl's Jr. sandwich
"Fish sandwich, on bun, with cheese and tartar sauce (Hardee's, Long John Silver's, Carl's Jr., McDonald's)",Long John Silver's sandwich
"Crab cake sandwich, on bun",sandwich
"Tuna salad sandwich, with lettuce",sandwich
Tuna salad sandwich,sandwich
Tuna melt sandwich,sandwich
"Tuna salad submarine sandwich, with lettuce and tomato",submarine sandwich
"Tuna salad submarine sandwich, with lettuce and tomato","Subway Sub (6"" long)"
"Tuna salad submarine sandwich, with lettuce and tomato","Jerry's Sub (8"" long)"
"Tuna salad submarine sandwich, with lettuce and tomato",Jerry's Jr. Sub
"Bologna sandwich, with margarine",sandwich
"Bologna and cheese sandwich, with margarine",sandwich
Corn dog,medium
Pigs in a blanket (hot dog wrapped in dough),pig in blanket
"Sausage on biscuit (McDonald's, Hardee's, Jimmy Dean Sausage Biscuit)",Jimmy Dean sandwich
"Sausage on biscuit (McDonald's, Hardee's, Jimmy Dean Sausage Biscuit)",sandwich
"Sausage on biscuit (McDonald's, Hardee's, Jimmy Dean Sausage Biscuit)",McDonald's biscuit
"Sausage on biscuit (McDonald's, Hardee's, Jimmy Dean Sausage Biscuit)",Hardee's biscuit
Sausage griddle cake sandwich (McDonald's Sausage McGriddles)),sandwich
Sausage griddle cake sandwich (McDonald's Sausage McGriddles)),McGriddles sandwich
Sausage and cheese on English muffin (McDonald's Sausage McMuffin),sandwich
Sausage and cheese on English muffin (McDonald's Sausage McMuffin),McDonald's McMuffin
"Sausage on biscuit, diet (Weight Watchers Sausage Biscuit)",Weight Watchers sandwich (3 oz)
"Sausage balls, made with biscuit mix and cheese",ball
Sausage sandwich,sandwich
"Cold cut submarine sandwich, with cheese, lettuce, tomato, and mayo",sub sandwich
"Cold cut submarine sandwich, with cheese, lettuce, tomato, and mayo","Subway Sub (6"" long)"
"Cold cut submarine sandwich, with cheese, lettuce, tomato, and mayo","Jerry's Sub (8"" long)"
"Cold cut submarine sandwich, with cheese, lettuce, tomato, and mayo",Jerry's Jr. Sub
"Beef frozen meal, with large meat portion, and potatoes",meal (12 oz)
"Beef diet frozen meal, with vegetable",meal (10 oz)
"Chopped sirloin beef frozen meal, with gravy, mashed potatoes, and vegetable (Swanson)",meal (10.5 oz)
"Chopped sirloin beef frozen meal, with gravy, mashed potatoes, and vegetable (Swanson)",Swanson meal (14.75 oz)
"Sirloin tips frozen meal, with gravy, potatoes, and vegetable (Budget Gourmet)",meal (10 oz)
"Salisbury steak frozen meal, with gravy, potatoes, and vegetable (Armour, Kraft)",Armour meal (11 oz)
"Salisbury steak frozen meal, with gravy, potatoes, and vegetable (Armour, Kraft)",Kraft meal (9 oz)
"Salisbury steak frozen meal, with gravy, whipped potatoes, vegetable, and dessert (Swanson, Morton)",Morton Salisbury Steak Dinner (11.25 oz)
"Salisbury steak frozen meal, with gravy, whipped potatoes, vegetable, and dessert (Swanson, Morton)",Swanson Salisbury Steak Dinner (11 oz)
"Salisbury steak frozen meal, with gravy, potatoes, vegetable, soup or macaroni and cheese, and dessert",meal (15.5 oz)
"Salisbury steak frozen meal, with large meat portion, gravy, potatoes, vegetable, and dessert (Swanson Hungry Man)",meal (16.5 oz)
"Salisbury steak frozen meal, with gravy, macaroni and cheese, and vegetable (Budget Gourmet)",meal (11.5 oz)
"Salisbury steak frozen meal, with gravy, and macaroni and cheese (Swanson)",meal (10 oz)
"Salisbury steak diet frozen meal, with potatoes, vegetable, and dessert (Healthy Choice)",meal (12.5 oz)
"Beef pot roast frozen meal, with gravy, potatoes, and vegetable (Banquet, Marie Callender's, Michelina's, Swanson, Stouffer's)",Banquet meal (9.5 oz)
"Beef pot roast frozen meal, with gravy, potatoes, and vegetable (Banquet, Marie Callender's, Michelina's, Swanson, Stouffer's)",Marie Callender's dinner (14.5 oz)
"Beef pot roast frozen meal, with gravy, potatoes, and vegetable (Banquet, Marie Callender's, Michelina's, Swanson, Stouffer's)",Michelina's dinner (10 oz)
"Beef pot roast frozen meal, with gravy, potatoes, and vegetable (Banquet, Marie Callender's, Michelina's, Swanson, Stouffer's)",Stouffer's meal (8-7/8 oz)
"Beef pot roast frozen meal, with gravy, potatoes, and vegetable (Banquet, Marie Callender's, Michelina's, Swanson, Stouffer's)",Stouffer's dinner (14 oz)
"Beef pot roast frozen meal, with gravy, potatoes, and vegetable (Banquet, Marie Callender's, Michelina's, Swanson, Stouffer's)",Swanson dinner (12.75 oz)
"Beef short ribs frozen meal, with barbecue sauce, potatoes, and vegetable (Armour)",meal (10.5 oz)
"Swedish meatballs frozen meal, with sauce, and noodles (Budget Gourmet)",meal (10 oz)
"Swedish meatballs diet frozen meal, with gravy, and noodles (Lean Cuisine, Weight Watchers Smart Ones, Michelina's Lean Gourmet)",meal (9.1 oz)
"Salisbury steak diet frozen meal, baked, with tomato sauce, and vegetable (Lean Cuisine, Weight Watchers Smart Ones)",meal (9.5 oz)
"Salisbury steak diet frozen meal, baked, with tomato sauce, and vegetable (Lean Cuisine, Weight Watchers Smart Ones)",Weight Watchers meal (9.5 oz)
"Beef frozen meal, with rice or spaetzle, and vegetable (Stouffer, Budget Gourmet)",Stouffer's meal (10.5 oz)
"Beef frozen meal, with rice or spaetzle, and vegetable (Stouffer, Budget Gourmet)",Budget Gourmet (8.5 oz)
"Veal parmigiana frozen meal, with spaghetti, in tomato sauce (Stouffer's)",Stouffer's meal (11.6 oz)
"Veal parmigiana diet frozen meal, with vegetable (Weight Watchers)",meal (9 oz)
"Veal parmigiana frozen meal, with vegetable, fettuccine alfredo, and dessert (Swanson)",meal (12.75 oz)
Chicken divan frozen meal (Stouffer),meal (9.5 oz)
"Boneless chicken frozen meal,with large meat portion, gravy, dressing, rice, vegetable, and dessert (Swanson Hungry Man)",meal (17.75 oz)
"Chicken and noodles frozen meal, with vegetable, and dessert",meal (10.25 oz)
"Fried chicken frozen meal, with potatoes, and vegetable (Banquet)",meal (11 oz)
"Chicken nuggets (chicken patty) frozen meal, with potatoes and vegetable (Banquet Select)",Banquet meal (6.75 oz)
"Chicken parmigiana frozen meal, with fettuccine alfredo, and vegetable (Marie Callender's)",Marie Callender's dinner (16 oz)
"Chicken nuggets (chicken patty) frozen meal, with pasta and tomato sauce, fruit, and dessert (Kid Cuisine)",meal (6.80 oz)
"Fried chicken frozen meal, with potatoes, vegetable, and dessert (Swanson)",Swanson meal (11 oz)
"Fried chicken frozen meal, with large meat portion, potatoes, vegetable, and dessert (Banquet Hearty Ones, Swanson Hungry Man, Swanson Hungry Man)",Banquet meal (16.5 oz)
"Fried chicken frozen meal, with large meat portion, potatoes, vegetable, and dessert (Banquet Hearty Ones, Swanson Hungry Man, Swanson Hungry Man)",Swanson meal (16.5 oz)
"Chicken parmigiana diet frozen meal, with vegetable (Weight Watchers)",meal (8 oz)
"Teriyaki chicken diet frozen meal, with rice and vegetable (Lean Cuisine, Weight Watchers Smart Ones, Uncle Ben's Rice Bowl)",Lean Cuisine meal (11 oz)
"Teriyaki chicken diet frozen meal, with rice and vegetable (Lean Cuisine, Weight Watchers Smart Ones, Uncle Ben's Rice Bowl)",Weight Watchers meal (10.5 oz)
"Teriyaki chicken diet frozen meal, with rice and vegetable (Lean Cuisine, Weight Watchers Smart Ones, Uncle Ben's Rice Bowl)",Uncle Ben's Rice Bowl (12 oz)
"Chicken diet frozen meal, with rice-vegetable mixture (Lean Cuisine)",meal (8.5 oz)
"Chicken a la king frozen meal, with rice (Stouffer)",Le Menu meal (10.25 oz)
"Chicken a la king frozen meal, with rice (Stouffer)",Stouffer's meal (9.5 oz)
Chicken a la king diet frozen meal (Weight Watchers),meal (9 oz)
"Chicken au gratin diet frozen meal, with rice-vegetable mixture (Budget Gourmet)",entree (9.1 oz)
Sweet and sour chicken diet frozen meal (Weight Watchers),meal (9 oz)
"Chicken chow mein diet frozen meal, with rice (Lean Cuisine)",Healthy Choice meal (8.5 oz)
"Chicken chow mein diet frozen meal, with rice (Lean Cuisine)",Lean Cuisine meal (11.25 oz)
"Chicken fettucini diet frozen meal (Healthy Choice, Weight Watchers Smart Ones, Lean Cuisine)",Healthy Choice meal (8.5 oz)
"Chicken fettucini diet frozen meal (Healthy Choice, Weight Watchers Smart Ones, Lean Cuisine)",Lean Cuisine meal (9.25 oz)
"Chicken fettucini diet frozen meal (Healthy Choice, Weight Watchers Smart Ones, Lean Cuisine)",Weight Watchers meal (10 oz)
Chicken cacciatore frozen meal (Banquet Gourmet),meal (10 oz)
"Chicken and vegetable with noodles diet frozen meal (Lean Cuisine, Jenny's Cuisine, Healthy Choice) ",Healthy Choice meal (8.5 oz)
"Chicken and vegetable with noodles diet frozen meal (Lean Cuisine, Jenny's Cuisine, Healthy Choice) ",Lean Cuisine meal (11.75 oz)
"Chicken and vegetable with noodles diet frozen meal (Lean Cuisine, Jenny's Cuisine, Healthy Choice) ",Jenny's Cuisine meal (9.25 oz)
"Chicken diet frozen meal, in butter sauce, with potatoes and vegetable",meal (9.25 oz)
"Chicken frozen meal, in mushroom sauce, with white and wild rice, and vegetable",meal (10.75 oz)
"Chicken frozen meal, in soy-based sauce, with rice and vegetables",meal (9 oz)
"Chicken diet frozen meal, in orange sauce, with almond rice (Lean Cuisine)",meal (8 oz)
Chicken and vegetable with noodles and cream sauce frozen meal (Budget Gourmet),meal (10 oz)
"Turkey diet frozen meal, with dressing, gravy, vegetable, and fruit (Healthy Choice)",meal (10.5 oz)
"Turkey diet frozen meal, with vegetable and stuffing (Weight Watchers, Healthy Choice)",Healthy Choice meal (10 oz)
"Turkey diet frozen meal, with vegetable and stuffing (Weight Watchers, Healthy Choice)",Weight Watchers meal (8.5 oz)
"Turkey frozen meal, with gravy, dressing, potatoes, and vegetable (Banquet Value, Swanson)",Banquet meal (9.25 oz)
"Turkey frozen meal, with gravy, dressing, potatoes, and vegetable (Banquet Value, Swanson)",Swanson meal (11.75 oz)
"Turkey frozen meal, with large meat portion, gravy, dressing, potatoes, vegetable, and dessert (Swanson Hungry Man)",meal (18.5 oz)
Turkey tetrazzini frozen meal (Stouffer),meal (10 oz)
"Fish diet frozen meal, with creamy spinach parmesan sauce",meal (9 oz)
"Fish diet frozen meal, with creamy parmesan sauce and broccoli",meal (12.4 oz)
"Fish diet frozen meal, with peas and carrots",meal (8.5 oz)
"Fish frozen meal, with lemon-butter sauce, rice, and vegetable",meal (10 oz)
"Fish frozen meal, with breaded fish or fish sticks, pasta, vegetable and dessert",meal
"Scallops frozen meal, with potatoes and vegetable",meal (8 oz)
"Shrimp frozen meal, with rice and vegetable",meal (11 oz)
"Shrimp and clam marinara frozen meal, with noodles (Budget Gourmet)",meal (10 oz)
Shrimp primavera diet frozen meal,meal (11 oz)
"Meat loaf frozen meal, with potatoes and vegetable (Banquet, Marie Callender's, Stouffer's)",Banquet meal (9.5 oz)
"Meat loaf frozen meal, with potatoes and vegetable (Banquet, Marie Callender's, Stouffer's)",Marie Callender's dinner (14 oz)
"Meat loaf frozen meal, with potatoes and vegetable (Banquet, Marie Callender's, Stouffer's)",Stouffer's dinner (17 oz)
Stuffed green pepper frozen meal (Green Giant),meal (14 oz)
Stuffed green pepper diet frozen meal (Weight Watchers),meal (11.75 oz)
Stuffed cabbage diet frozen meal (Lean Cuisine),meal (10.75 oz)
"Broth, beef",cup
"Broth, beef, low sodium",cup
"Broth, beef, dry (bouillon)",cube
"Broth, beef, dry (bouillon), low sodium",cube
"Chili beef soup, chunky style",cup
"Meatball soup, Mexican style",cup
"Beef noodle soup, Puerto Rican style",cup
"Beef and rice noodle soup, Oriental style (Vietnamese Pho Bo)",cup
Pepperpot (tripe) soup,cup
"Beef vegetable soup with potato, stew type, chunky style",cup
"Beef noodle soup, chunky style",cup
"Beef vegetable soup with noodles, stew type, chunky style",cup
"Beef vegetable soup with rice, stew type, chunky style",cup
"Beef vegetable soup, Mexican style",cup
"Meat and corn hominy soup, Mexican style (Pozole)",cup
Italian Wedding Soup,cup
"Pork and vegetable soup with potatoes, stew type, chunky style",cup
"Scotch broth (lamb, vegetables, and barley)",cup
"Broth, chicken, condensed, prepared",cup
"Broth, chicken, homemade",cup
"Broth, chicken, dry (bouillon)",cube
"Broth, chicken, Mexican style",cup
"Chicken rice soup, Puerto Rican style",cup
"Chicken soup with noodles and potatoes, Puerto Rican style",cup
Chicken gumbo soup,cup
"Chicken noodle soup, chunky style",cup
Chicken soup,cup
"Chicken corn soup with noodles, home recipe",cup
"Chicken or turkey vegetable soup, stew type",cup
"Turkey noodle soup, chunky style",cup
"Chicken vegetable soup with rice, stew type, chunky style",cup
"Chicken vegetable soup with noodles, stew type, chunky style",cup
"Chicken or turkey vegetable soup, home recipe",cup
"Chicken vegetable soup with rice, Mexican style",cup
"Chicken or turkey and corn hominy soup, Mexican style (Pozole)",cup
Hot and sour soup,cup
"Cream of chicken soup, reduced sodium, made with milk",cup
"Cream of chicken soup, reduced sodium, made with water",cup
"Cream of chicken soup, canned, reduced sodium, condensed",cup
"Cream of chicken soup, made with milk",cup
"Cream of chicken soup, made with water",cup
"Cream of chicken soup, canned, condensed",cup
"Fish stock, home recipe",cup
Fish chowder,cup
"Crab soup, tomato-base",cup
"Clam chowder, Manhattan",cup
"Fish and vegetable soup, no potatoes",cup
"Fish soup, with potatoes",cup
"Clam chowder, New England, prepared with milk",cup
"Clam chowder, New England, prepared with water",cup
"Clam chowder, New England, canned, reduced sodium, ready-to-serve",cup
"Clam chowder, New England, canned, reduced sodium, ready-to-serve","Campbell's can (16 oz), ready-to-serve"
"Cream of crab soup, made with milk",cup
Lobster bisque,cup
Oyster stew,cup
"Cream of shrimp soup, made milk",cup
"Cream of shrimp soup, made with water",cup
Shrimp gumbo,cup
Seafood soup with potatoes and dark-green leafy vegetables,cup
"Seafood soup with potatoes, no carrots and/or dark-green vegetables",cup
"Seafood soup with carrots and/or dark-green leafy vegetables, no potatoes",cup
"Seafood soup with corn, no carrots, dark-green vegetables, or potatoes",cup
"Gelatin drink, powder, unflavored, unsweetened, reconstituted",cup
"Gelatin drink, powder, flavored, with low-calorie sweetener, reconstituted",Nutri System packet with 8 fl oz water
Bee pollen,teaspoon
"Gravy, poultry, canned or dry mix",cup
"Gravy, beef, canned or dry mix",cup
"Gravy, giblet",cup
"Gravy, beef, home recipe made with meat drippings",cup
"Gravy, beef, home recipe made with oil",cup
"Gravy, beef, home recipe made without fat",cup
"Gravy, beef, home recipe made with butter",cup
"Gravy, poultry, home recipe made with meat drippings",cup
"Gravy, poultry, home recipe made without fat",cup
"Gravy, poultry, home recipe made with vegetable oil",cup
"Gravy, poultry, home recipe made with butter",cup
"Gravy, mushroom, canned or dry mix",cup
"Gravy, redeye",cup
Oyster sauce,teaspoon
Mole poblano (sauce),cup
Mole verde (sauce),cup
"Egg, raw",cup
"Egg, raw",large egg(s)
"Eggs, fried, no fat added",large egg(s)
"Egg, baked, no fat added",large egg(s)
"Egg, baked, with margarine",large egg(s)
"Egg, baked, with butter",large egg(s)
"Egg, baked, with vegetable oil ",large egg(s)
